p8000_g+4.5_m0.0_t00_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00
  8000.      Teff [K].         Last iteration; yyyymmdd=20080519
  2.3226E+11 Flux [erg/cm2/s]
  3.1623E+04 Surface gravity [cm/s2]
  0.0        Microturbulence parameter [km/s]
  0.0        No mass for plane-parallel models
 +0.00 +0.00 Metallicity [Fe/H] and [alpha/Fe]
  1.0000E+00 1 cm radius for plane-parallel models
  7.6428E-22 Luminosity [Lsun] FOR A RADIUS OF 1 cm!
  1.50 8.00 0.076 0.00 are the convection parameters: alpha, nu, y and beta
  0.73826 0.24954 1.22E-02 are X, Y and Z, 12C/13C=89 (=solar)
Logarithmic chemical number abundances, H always 12.00
  12.00  10.93   1.05   1.38   2.70   8.39   7.78   8.66   4.56   7.84
   6.17   7.53   6.37   7.51   5.36   7.14   5.50   6.18   5.08   6.31
   3.17   4.90   4.00   5.64   5.39   7.45   4.92   6.23   4.21   4.60
   2.88   3.58   2.29   3.33   2.56   3.25   2.60   2.92   2.21   2.58
   1.42   1.92 -99.00   1.84   1.12   1.66   0.94   1.77   1.60   2.00
   1.00   2.19   1.51   2.24   1.07   2.17   1.13   1.70   0.58   1.45
 -99.00   1.00   0.52   1.11   0.28   1.14   0.51   0.93   0.00   1.08
   0.06   0.88  -0.17   1.11   0.23   1.25   1.38   1.64   1.01   1.13
   0.90   2.00   0.65 -99.00 -99.00 -99.00 -99.00 -99.00 -99.00   0.06
 -99.00  -0.52
  56 Number of depth points
Model structure
 k lgTauR  lgTau5    Depth     T        Pe          Pg         Prad       Pturb
 41 -0.00 -0.2197  0.000E+00  8653.5  7.2180E+02  2.1384E+04  1.4176E+01  0.0000E+00
 42  0.10 -0.1302  5.646E+05  8981.4  1.0531E+03  2.2014E+04  1.6402E+01  0.0000E+00
 43  0.20 -0.0400  1.019E+06  9448.3  1.6940E+03  2.2495E+04  1.9255E+01  0.0000E+00
 44  0.30  0.0527  1.380E+06  9859.5  2.4489E+03  2.2852E+04  2.2490E+01  0.0000E+00
 45  0.40  0.1482  1.710E+06 10170.7  3.1461E+03  2.3163E+04  2.5753E+01  0.0000E+00
 46  0.50  0.2468  2.046E+06 10432.5  3.8145E+03  2.3469E+04  2.8921E+01  0.0000E+00
 47  0.60  0.3489  2.405E+06 10666.6  4.4701E+03  2.3783E+04  3.1993E+01  0.0000E+00
 48  0.70  0.4542  2.801E+06 10888.0  5.1336E+03  2.4117E+04  3.5026E+01  0.0000E+00
 49  0.80  0.5623  3.250E+06 11106.1  5.8205E+03  2.4482E+04  3.8124E+01  0.0000E+00
 50  0.90  0.6728  3.767E+06 11328.5  6.5448E+03  2.4889E+04  4.1398E+01  0.0000E+00
 51  1.00  0.7857  4.372E+06 11562.8  7.3209E+03  2.5347E+04  4.5028E+01  0.0000E+00
 52  1.20  1.0191  5.976E+06 12116.3  9.1163E+03  2.6477E+04  5.4168E+01  0.0000E+00
 53  1.40  1.2669  8.496E+06 12898.2  1.1246E+04  2.7876E+04  7.0440E+01  0.0000E+00
 54  1.60  1.6045  1.746E+07 16598.2  1.5502E+04  3.2482E+04  1.8875E+02  0.0000E+00
 55  1.80  1.9957  4.359E+07 19781.6  2.3077E+04  4.6914E+04  3.7094E+02  0.0000E+00
 56  2.00  2.3675  8.902E+07 23100.2  3.9301E+04  7.8882E+04  6.5809E+02  0.0000E+00
